subj,PMC,total time,mean x,std x,var x,median x,kurtosis x,skewness x,max x,min x,mean y,std y,var y,median y,kurtosis y,skewness y,max y,min y,mean z,std z,var z,median z,kurtosis z,skewness z,max z,min z,mean Rx,std Rx,var Rx,median Rx,kurtosis Rx,skewness Rx,max Rx,min Rx,mean Ry,std Ry,var Ry,median Ry,kurtosis Ry,skewness Ry,max Ry,min Ry,mean Rz,std Rz,var Rz,median Rz,kurtosis Rz,skewness Rz,max Rz,min Rz,mean tt,std tt,var tt,median tt,kurtosis tt,skewness tt,max tt,min tt,mean tr,std tr,var tr,median tr,kurtosis tr,skewness tr,max tr,min tr
au70_T1,1,722.9875,1.093078674,0.510002781,0.260102836,1.33125,0.346392224,-1.340014695,1.66428,-0.16541,-0.545598343,0.385394695,0.148529071,-0.70429,-0.936474544,0.704356395,0.4969,-1.31926,-0.724244748,0.315746588,0.099695908,-0.7901,-1.064834082,0.41814729,0.08013,-1.3156,0.072087083,0.095466144,0.009113785,0.094587648,-0.881850527,-0.370048113,0.3460256,-0.192020428,0.356687179,0.185568941,0.034435832,0.459844296,-0.090680171,-1.199092728,0.528979507,-0.090090573,-0.138782531,0.053598428,0.002872791,-0.155907504,1.553044579,1.541862224,0.028258191,-0.27118879,8.441919165,6.146851656,37.78378528,10.2179623,-1.498355646,-0.162721398,20.51478869,0,0.050996783,0.034643078,0.001200143,0.06538941,-1.478704923,-0.407751779,0.126884108,0
dl43_T1,1,722.9875,0.481547765,0.296908868,0.088154876,0.55954,-0.99312485,-0.525296867,0.96259,-0.23095,0.096014514,0.152466662,0.023246083,0.0775,-0.988972518,0.082409395,0.45074,-0.28126,-0.823342267,0.464041964,0.215334944,-0.8845,-1.398094014,0.270648628,0.1533,-1.5193,-0.070419685,0.059780159,0.003573667,-0.072685541,-1.167000606,0.142762899,0.077519333,-0.202372357,0.201135182,0.155948903,0.02432006,0.211589987,-1.238933534,-0.076815425,0.463415236,-0.114964737,0.009039398,0.037155283,0.001380515,0.00061932,-0.986016124,0.467274752,0.111018681,-0.063900979,2.533537439,2.712207009,7.356066858,1.305233202,-1.00876673,0.667825709,10.50600146,0,0.010935508,0.015337092,0.000235226,0.002705935,0.630348314,1.404096129,0.060261288,0
dn20_T1,1,722.975,-2.910125441,1.09301123,1.194673549,-3.30642,0.976877574,1.550658256,0.11609,-4.39512,1.495100686,0.552352879,0.305093703,1.515,1.594983601,-1.480515623,2.2525,-0.0965,-2.439613381,0.958939093,0.919564184,-2.8852,0.606146236,1.327645232,0.0952,-3.7203,-0.721965301,0.250916057,0.062958867,-0.774028529,1.785301594,1.639338804,0.028083711,-1.090649728,0.042682262,0.263798453,0.069589624,0.082974563,-1.464270745,-0.07953096,0.516652575,-0.405611905,0.881865491,0.40951238,0.16770039,1.050768693,-0.469048099,-0.956687386,1.412815133,-0.040949027,439.4504952,244.4611621,59761.25978,491.949379,-0.637018333,-0.616421793,1041.677019,0,3.189593609,2.070873314,4.288516282,3.402384395,-0.952262128,-0.113219982,9.984967188,0
dp20_T1,1,723.0,-1.635988016,0.861280329,0.741803805,-1.9424,-0.611617285,0.769401584,0.9811,-2.99582,0.265531898,0.153052889,0.023425187,0.2611,-0.742720036,0.13563523,0.8927,-0.1926,-0.846764894,0.34491884,0.118969006,-0.901,-0.528915925,0.49731871,0.1513,-1.5591,-0.169536525,0.073561708,0.005411325,-0.173824462,-0.55575798,0.244745019,0.057379227,-0.395899622,-0.177770761,0.135360199,0.018322383,-0.232483168,-0.75383706,0.730579881,0.25403424,-0.414179541,0.30370628,0.123610772,0.015279623,0.339094354,0.013146534,-0.981654938,0.506406588,-0.08361583,27.19307979,25.41328478,645.8350432,22.61872463,-0.506992079,0.685080935,120.8781534,0,0.050304718,0.045401276,0.002061276,0.042074596,-0.208511868,0.756060022,0.253798272,0
iy25_T1,1,722.9875,0.119700838,0.121999099,0.01488378,0.09218,-1.157443521,0.283079271,0.42339,-0.133957,-0.1104793,0.131352197,0.0172534,-0.0933,42.07252025,2.044884808,2.42644,-0.5551,-0.373270305,0.220092794,0.048440838,-0.36792,-0.30261602,-0.144003946,0.17431,-1.64088,0.029186483,0.115849115,0.013421017,0.043034028,73.51189788,-4.017709524,0.304914368,-2.528099466,0.005947238,0.015651498,0.000244969,0.006233747,4.102361106,0.45939632,0.189871264,-0.047792384,-0.034850435,0.0329993,0.001088954,-0.028831506,-0.676134486,-0.409478084,0.146808301,-0.174516277,0.123644183,1.128215455,1.272870113,0.03732597,3199.082136,54.81818534,74.19525175,0,0.013445054,0.643811551,0.414493314,3.37878e-05,3170.257446,55.12363618,41.41496564,0
kc73_T1,1,722.9875,0.575474797,0.368141432,0.135528114,0.64295,-0.281176825,-0.509585091,2.0072,-0.7688,-1.430945802,0.700253444,0.490354886,-1.68027,-0.881444459,0.675675514,0.18208,-2.67477,1.814960146,0.873834541,0.763586806,1.9831,-0.721725277,-0.342080256,3.960053,-0.0544,0.593069969,0.28127569,0.079116014,0.688306477,-0.81311983,-0.657037091,1.113185113,-0.071225606,0.26194077,0.123136172,0.015162517,0.286198453,-0.513427182,-0.470135562,0.67099756,-0.050124176,-0.010514,0.070738623,0.005003953,-0.005808592,-0.57892134,0.130578176,0.261601482,-0.22462197,72.42622,76.0428885,5782.520892,60.37356876,4.098507246,1.737711017,548.5278252,0,0.385174284,0.360572288,0.130012375,0.329577015,0.870337578,0.980631704,2.244612592,0
me21_T1,1,722.9125,-3.997608425,1.447500152,2.09525669,-4.6106,0.351111228,1.120682122,0.0174,-6.0286,-0.508560973,0.524191434,0.27477666,-0.31361,-0.976433474,-0.686800546,0.20159,-1.83601,0.830703335,0.654558553,0.428446899,0.55087,-1.024673382,0.590718878,2.43827,-0.18811,0.171388849,0.227469138,0.051742209,0.072260587,-0.677110159,0.879897794,0.806302839,-0.121028661,0.799084176,0.634240342,0.402260811,0.784924464,-1.468877229,0.137012206,1.942452955,-0.099554225,1.981833579,1.023959773,1.048493618,2.194718379,-1.239132627,-0.398057924,3.276328339,-0.006202898,503.6656361,388.9306049,151267.0154,487.9618563,-1.101394795,0.256547446,1490.113729,0,60.97114345,65.523395,4293.315292,29.47669491,-1.08050245,0.632919111,219.6168148,0
mf79_T1,1,722.9875,0.160685002,0.706294037,0.498851266,-0.0768,0.120362863,1.018217424,3.5708,-1.4957,-0.212712408,0.295948465,0.087585494,-0.24749,23.69961157,2.679454978,3.61831,-1.91569,0.928923779,0.49859629,0.248598261,0.983,1.038314542,-0.500912578,3.3322,-2.97841,0.050694248,0.102299054,0.010465096,0.05756267,36.85370006,-3.546322382,0.682418414,-1.438928203,0.116937224,0.077487739,0.00600435,0.117205152,2.201031226,0.826307948,0.64451359,-0.097064487,0.115350341,0.20271886,0.041094936,0.17324982,-0.349785471,-0.691958756,0.654437951,-0.851906662,5.043577734,11.22336738,125.9639753,3.214497107,713.0223046,21.78010632,482.9500934,0,0.017002743,0.12428548,0.015446881,0.005350541,719.2263879,24.6098971,4.959521847,0
nv85_T1,1,722.9875,3.788398267,1.957878215,3.833287105,4.674,-1.239582705,-0.578425799,6.8743,-0.2582,-0.272051497,0.474935396,0.22556363,-0.213,-0.941323804,-0.146832988,0.7936,-1.61258,0.210539604,0.488379306,0.238514346,0.1574,-0.445033821,0.286615752,1.8217,-0.9869,0.127657555,0.18749787,0.035155451,0.139632894,-0.994077284,-0.070690127,0.583669619,-0.313440732,-0.241447899,0.121276236,0.014707925,-0.209697281,-0.71510348,-0.30077283,0.04477471,-0.532506104,-1.487000798,0.711758678,0.506600415,-1.763746783,-1.083718181,0.547975974,0.122900391,-2.562600959,529.0797687,496.6014533,246613.0034,489.7280853,0.115284836,0.744540422,2715.728413,0,11.90592461,11.4260106,130.5537183,10.23033004,-0.339922897,0.754068167,48.14414094,0
pa30_T1,1,722.9875,1.122239041,1.171927347,1.373413706,0.507965,-0.441810006,1.017783174,3.99266,-0.08028,0.749030328,0.530665664,0.281606047,0.6358,-0.745344615,0.620338899,2.6262,-0.0688,-1.044220616,0.748128477,0.559696219,-0.81076,-0.808472014,-0.687310283,0.08172,-3.30866,-0.32494858,0.210233629,0.044198179,-0.289039433,-0.591199164,-0.603361213,0.038042946,-1.141896733,0.48941351,0.521242193,0.271693424,0.206660822,-0.358677167,1.042348159,1.781609694,-0.058629926,0.081158902,0.086214399,0.007432923,0.041703785,-0.920908074,0.730988017,0.399396261,-0.038128453,76.73061417,148.5093131,22055.01608,1.760615304,2.787108301,2.006515122,677.1250721,0,1.460233539,3.001378066,9.008270293,0.016524576,3.62250817,2.176985541,15.38322516,0
